iri,label,typeLabel,country
http://www.wikidata.org/entity/Q1048848,Castello di Cefalà Diana,castle,Italy
http://www.wikidata.org/entity/Q11838987,Pitfour Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q113585048,Castello Savelli,castle,Italy
http://www.wikidata.org/entity/Q8342492,Castell d'Orís,castle,Spain
http://www.wikidata.org/entity/Q934922,Tintagel Castle,castle | local authority museum | ruins,United Kingdom
http://www.wikidata.org/entity/Q17596358,Castell de Marfà,castle,Spain
http://www.wikidata.org/entity/Q22996242,Château de Rennes-sur-Loue,castle | château,France
http://www.wikidata.org/entity/Q13126483,Pen-y-Castell,castle | hillslope fort,United Kingdom
http://www.wikidata.org/entity/Q5757629,Castle of Tordehumos,castle,Spain
http://www.wikidata.org/entity/Q55163772,Castello Francavilla,castle,Italy
http://www.wikidata.org/entity/Q1013650,Burg Remchingen,castle,Germany
http://www.wikidata.org/entity/Q1589872,Haus Achternberg,castle,Germany
http://www.wikidata.org/entity/Q1292724,Haus Saarbrückerwerd,castle,Germany
http://www.wikidata.org/entity/Q97632341,Torre del Despoblado de Almayate Alto,monument | castle | watchtower,Spain
http://www.wikidata.org/entity/Q38284627,Palaiochora Castle,castle,Greece
http://www.wikidata.org/entity/Q687250,Bottmingen Castle,castle,Switzerland
http://www.wikidata.org/entity/Q113564230,Castello di Calathamet,castle,Italy
http://www.wikidata.org/entity/Q1010941,Burg Berauerhorn,castle,Germany
http://www.wikidata.org/entity/Q67772222,Ruine Montalban,castle,Italy
http://www.wikidata.org/entity/Q5899127,Ab Sefid Ab Castle,castle,Iran
http://www.wikidata.org/entity/Q22966976,Château de Crolles,castle | château,France
http://www.wikidata.org/entity/Q117826581,Kasteel Ravestein,castle,Belgium
http://www.wikidata.org/entity/Q15108442,Burgstall Schneckenbichl,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q21294321,Château de Salvagnac,castle,France
http://www.wikidata.org/entity/Q106080231,Castello di Querciola,castle,Italy
http://www.wikidata.org/entity/Q24660027,Lasborough Motte,castle,United Kingdom
http://www.wikidata.org/entity/Q2304755,Drochil Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q12021020,Huzová,castle,Czech Republic
http://www.wikidata.org/entity/Q50198512,Castillo de Casarrubios del Monte,castle,Spain
http://www.wikidata.org/entity/Q1013037,Burg Lutter,castle,Germany
http://www.wikidata.org/entity/Q5907425,Azizabad Castle,castle,Iran
http://www.wikidata.org/entity/Q15905753,Burg Creußen,castle,Germany
http://www.wikidata.org/entity/Q28001136,Castello dei Maltraversi,castle,Italy
http://www.wikidata.org/entity/Q24661315,Bolam Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1049131,Castillo de Berlanga de Duero,castle,Spain
http://www.wikidata.org/entity/Q666402,Siklós Castle,castle,Hungary
http://www.wikidata.org/entity/Q3302289,Melgund Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q21196187,Castello della Motella,castle,Italy
http://www.wikidata.org/entity/Q1252695,Doune of Invernochty,castle | archaeological site,United Kingdom
http://www.wikidata.org/entity/Q1014576,Wiedersberg Castle,castle,Germany
http://www.wikidata.org/entity/Q2497319,Fronhausen Castle,castle,Germany
http://www.wikidata.org/entity/Q1468874,Willibaldsburg,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q5922963,Qarloq Castle,castle,Iran
http://www.wikidata.org/entity/Q113439594,Castello ducale,castle,Italy
http://www.wikidata.org/entity/Q2969185,Château de Falgueyrac,castle | château,France
http://www.wikidata.org/entity/Q2969655,Château de Largentière,castle,France
http://www.wikidata.org/entity/Q89202468,Castello di L'Ardara,castle,Italy
http://www.wikidata.org/entity/Q83718947,Château fort de Bouillé,castle,France
http://www.wikidata.org/entity/Q37172579,Dlouhá Loučka,hillfort | castle | castle ruin,Czech Republic
http://www.wikidata.org/entity/Q67772504,Rauhenzell Castle,castle,Germany
http://www.wikidata.org/entity/Q1048609,Castel Pergine,castle,Italy
http://www.wikidata.org/entity/Q17568297,Lennox Castle,castle | country house,United Kingdom
http://www.wikidata.org/entity/Q1313383,Mont Orgueil,castle | history museum | archaeological site,Jersey
http://www.wikidata.org/entity/Q108751971,Castle of Alexander,castle,Greece
http://www.wikidata.org/entity/Q685981,Amadé Castle,castle | ruins,Hungary
http://www.wikidata.org/entity/Q1014680,Burg Zieverich,castle,Germany
http://www.wikidata.org/entity/Q2968616,Château de Bouillé-Théval,castle,France
http://www.wikidata.org/entity/Q24661894,Talyfan Castle,castle | castle ruin,United Kingdom
http://www.wikidata.org/entity/Q83719594,Château fort de Sancy,castle,France
http://www.wikidata.org/entity/Q3661983,Cassero Senese,castle,Italy
http://www.wikidata.org/entity/Q2970097,Château de Mézens,castle,France
http://www.wikidata.org/entity/Q98108545,Cultural heritage D-3-6733-0004 in Pyrbaum,castle | château | Bodendenkmal | feature | archaeological record,Germany
http://www.wikidata.org/entity/Q65951032,Castello di Afragola,castle,Italy
http://www.wikidata.org/entity/Q112278533,Torre Errighi,castle,Italy
http://www.wikidata.org/entity/Q106053222,Castello di Monterastello,castle,Italy
